cik	formtype	companyname	filingdate	url
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2015-11-30	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-15-000073.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2014-12-01	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-14-000040.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2012-11-29	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-12-000023.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2005-12-09	https://www.sec.gov/Archives/edgar/data/1019361/0000950117-05-004653.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2006-12-13	https://www.sec.gov/Archives/edgar/data/1019361/0000930413-06-008555.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2009-11-25	https://www.sec.gov/Archives/edgar/data/1019361/0000930413-09-006001.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2003-12-23	https://www.sec.gov/Archives/edgar/data/1019361/0000947871-03-002757.txt
1019361	10-K	ROFIN SINAR TECHNOLOGIES	2000-12-22	https://www.sec.gov/Archives/edgar/data/1019361/0001019361-00-000013.txt
1021387	10-K405	TIME WARNER	2000-03-30	https://www.sec.gov/Archives/edgar/data/1021387/0000950117-00-000745.txt
1021387	10-K	TIME WARNER	1999-03-26	https://www.sec.gov/Archives/edgar/data/1021387/0000950123-99-002595.txt
1021387	10-K405	TIME WARNER	1998-03-25	https://www.sec.gov/Archives/edgar/data/1021387/0000950117-98-000617.txt
1021387	10-K	TIME WARNER	1997-03-25	https://www.sec.gov/Archives/edgar/data/1021387/0000950117-97-000453.txt
1021444	10-K	GVI SECURITY SOLUTIONS	2007-03-29	https://www.sec.gov/Archives/edgar/data/1021444/0001144204-07-015238.txt
1021444	10-K	GVI SECURITY SOLUTIONS	2008-03-25	https://www.sec.gov/Archives/edgar/data/1021444/0001144204-08-017229.txt
1021444	10-K	GVI SECURITY SOLUTIONS	2009-03-16	https://www.sec.gov/Archives/edgar/data/1021444/0001144204-09-014154.txt
1021444	10-K	THINKING TOOLS	1997-03-31	https://www.sec.gov/Archives/edgar/data/1021444/0000950146-97-000471.txt
1021604	10-K	ON TRACK INNOVATIONS	2015-03-30	https://www.sec.gov/Archives/edgar/data/1021604/0001178913-15-001093.txt
1021604	10-K	ON TRACK INNOVATIONS	2016-03-28	https://www.sec.gov/Archives/edgar/data/1021604/0001178913-16-004887.txt
1021604	10-K	ON TRACK INNOVATIONS	2014-03-31	https://www.sec.gov/Archives/edgar/data/1021604/0001178913-14-001152.txt
1021810	10-K	INTELIDATA TECHNOLOGIES	2002-03-27	https://www.sec.gov/Archives/edgar/data/1021810/0001021810-02-000013.txt
1021810	10-K	INTELIDATA TECHNOLOGIES	2000-03-29	https://www.sec.gov/Archives/edgar/data/1021810/0001021810-00-000002.txt
1021810	10-K405	INTELIDATA TECHNOLOGIES	1997-03-31	https://www.sec.gov/Archives/edgar/data/1021810/0000928385-97-000577.txt
1021810	10-K	INTELIDATA TECHNOLOGIES	2005-03-31	https://www.sec.gov/Archives/edgar/data/1021810/0001021810-05-000003.txt
1021810	10-K	INTELIDATA TECHNOLOGIES	2004-03-12	https://www.sec.gov/Archives/edgar/data/1021810/0001021810-04-000027.txt
1021810	10-K	INTELIDATA TECHNOLOGIES	2003-03-03	https://www.sec.gov/Archives/edgar/data/1021810/0001021810-03-000007.txt
1021810	10-K	INTELIDATA TECHNOLOGIES	2001-03-26	https://www.sec.gov/Archives/edgar/data/1021810/0001021810-01-000013.txt
1021810	10-K	INTELIDATA TECHNOLOGIES	1998-03-31	https://www.sec.gov/Archives/edgar/data/1021810/0001021810-98-000014.txt
1021810	10-K	INTELIDATA TECHNOLOGIES	1999-03-31	https://www.sec.gov/Archives/edgar/data/1021810/0001021810-99-000004.txt
1022225	10-K	OPLINK COMMUNICATIONS	2010-09-10	https://www.sec.gov/Archives/edgar/data/1022225/0000950123-10-085271.txt
1022225	10-K	OPLINK COMMUNICATIONS	2001-09-28	https://www.sec.gov/Archives/edgar/data/1022225/0001012870-01-502073.txt
1022225	10-K	OPLINK COMMUNICATIONS	2013-09-13	https://www.sec.gov/Archives/edgar/data/1022225/0001022225-13-000033.txt
1022225	10-K	OPLINK COMMUNICATIONS	2004-09-10	https://www.sec.gov/Archives/edgar/data/1022225/0000950134-04-013473.txt
1022225	10-K	OPLINK COMMUNICATIONS	2003-09-26	https://www.sec.gov/Archives/edgar/data/1022225/0001193125-03-054736.txt
1022225	10-K	OPLINK COMMUNICATIONS	2005-09-23	https://www.sec.gov/Archives/edgar/data/1022225/0000950134-05-018249.txt
1022225	10-K	OPLINK COMMUNICATIONS	2006-09-15	https://www.sec.gov/Archives/edgar/data/1022225/0000950134-06-017823.txt
1022225	10-K	OPLINK COMMUNICATIONS	2002-09-30	https://www.sec.gov/Archives/edgar/data/1022225/0001012870-02-003931.txt
1022225	10-K	OPLINK COMMUNICATIONS	2012-09-14	https://www.sec.gov/Archives/edgar/data/1022225/0001022225-12-000017.txt
1022225	10-K	OPLINK COMMUNICATIONS	2011-09-16	https://www.sec.gov/Archives/edgar/data/1022225/0001022225-11-000024.txt
1022225	10-K	OPLINK COMMUNICATIONS	2008-09-12	https://www.sec.gov/Archives/edgar/data/1022225/0000950134-08-016556.txt
1022225	10-K	OPLINK COMMUNICATIONS	2007-09-14	https://www.sec.gov/Archives/edgar/data/1022225/0000950134-07-019997.txt
1022225	10-K	OPLINK COMMUNICATIONS	2014-09-15	https://www.sec.gov/Archives/edgar/data/1022225/0001022225-14-000037.txt
1022225	10-K	OPLINK COMMUNICATIONS	2009-09-11	https://www.sec.gov/Archives/edgar/data/1022225/0000950123-09-042748.txt
1022652	10-K	NOVATEL WIRELESS	2003-03-31	https://www.sec.gov/Archives/edgar/data/1022652/0000936392-03-000405.txt
1022652	10-K	NOVATEL WIRELESS	2012-03-06	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-12-097385.txt
1022652	10-K	NOVATEL WIRELESS	2005-03-16	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-05-052906.txt
1022652	10-K	NOVATEL WIRELESS	2002-03-05	https://www.sec.gov/Archives/edgar/data/1022652/0000936392-02-000184.txt
1022652	10-K	NOVATEL WIRELESS	2014-03-12	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-14-094271.txt
1022652	10-K	NOVATEL WIRELESS	2013-03-04	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-13-088274.txt
1022652	10-K	NOVATEL WIRELESS	2009-03-16	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-09-055490.txt
1022652	10-K	NOVATEL WIRELESS	2010-03-12	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-10-055554.txt
1022652	10-K	NOVATEL WIRELESS	2008-03-03	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-08-044369.txt
1022652	10-K	NOVATEL WIRELESS	2006-03-16	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-06-056825.txt
1022652	10-K405	NOVATEL WIRELESS	2001-03-27	https://www.sec.gov/Archives/edgar/data/1022652/0000936392-01-500062.txt
1022652	10-K	NOVATEL WIRELESS	2011-03-16	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-11-068720.txt
1022652	10-K	NOVATEL WIRELESS	2007-03-16	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-07-057240.txt
1022652	10-K	NOVATEL WIRELESS	2016-03-15	https://www.sec.gov/Archives/edgar/data/1022652/0001022652-16-000089.txt
1022652	10-K	NOVATEL WIRELESS	2004-03-15	https://www.sec.gov/Archives/edgar/data/1022652/0001193125-04-042311.txt
