cik	fyear	filename	formtype	companyname	filingdate	url	GVKEY	conm	cusip	tic	fyr	datadate	sich	at	prcc_f	csho
65984	1997	0000065984-98-000014.txt	10-K	ENTERGY CORP	1998-03-10	https://www.sec.gov/Archives/edgar/data/65984/0000065984-98-000014.txt	7366	ENTERGY CORP	29364G103	ETR	12	13879	4911	27000.699	29.93699646	245.842
310377	1997	0001047469-98-009475.txt	10-K	HBO &	1998-03-12	https://www.sec.gov/Archives/edgar/data/310377/0001047469-98-009475.txt	5399	HBO & CO	404100109	HBOC.1	12	13879	7373	1312.586	48	211.38
946489	1997	0000946489-98-000002.txt	10-K	SHERIDAN HEALTHCARE	1998-03-30	https://www.sec.gov/Archives/edgar/data/946489/0000946489-98-000002.txt	61482	SHERIDAN HEALTHCARE INC	823781109	SHCR	12	13879	8011	87.035	15	6.806
1022222	1997	0000927356-98-000483.txt	10-K	TCI SATELLITE ENTERTAINMENT	1998-03-30	https://www.sec.gov/Archives/edgar/data/1022222/0000927356-98-000483.txt	64008	LIBERTY SAT & TECH   -CL A	531182301	3LSTTA	12	13879	4841	1204.856	6.875	66.704
832428	1997	0000832428-98-000003.txt	10-K	SCRIPPS E W CO	1998-03-27	https://www.sec.gov/Archives/edgar/data/832428/0000832428-98-000003.txt	14535	EW SCRIPPS  -CL A	811054402	SSP	12	13879	2711	2280.833	48.43699646	80.63
906469	1997	0000927356-98-000114.txt	10-K	MORRISON KNUDSEN	1998-02-10	https://www.sec.gov/Archives/edgar/data/906469/0000927356-98-000114.txt	6347	WASHINGTON GROUP INTL INC	938862208	WNG	11	13848	8711	770.244	9.875	54.241
854775	1997	0001047469-97-008896.txt	10-K	DIGI INTERNATIONAL	1997-12-29	https://www.sec.gov/Archives/edgar/data/854775/0001047469-97-008896.txt	16710	DIGI INTERNATIONAL INC	253798102	DGII	9	13787	3576	118.311	14.25	13.458
764478	1997	0000912057-97-018902.txt	10-K	BEST BUY CO	1997-05-28	https://www.sec.gov/Archives/edgar/data/764478/0000912057-97-018902.txt	2184	BEST BUY CO INC	086516101	BBY	2	13938	5731	2056.346	59.56199646	44.626
906163	1997	0001021408-98-000150.txt	10-K405	NVR	1998-03-09	https://www.sec.gov/Archives/edgar/data/906163/0001021408-98-000150.txt	12459	NVR INC	62944T105	NVR	12	13879	1531	564.621	21.875	11.095
790406	1997	0000912057-97-015178.txt	10-K	MERRILL	1997-05-01	https://www.sec.gov/Archives/edgar/data/790406/0000912057-97-015178.txt	12380	MERRILL CORPORATION	590175105	MRLL	1	13910	2750	246.479	19.5	16.315
815910	1997	0000815910-98-000002.txt	10-K	METROLOGIC INSTRUMENTS	1998-03-31	https://www.sec.gov/Archives/edgar/data/815910/0000815910-98-000002.txt	30718	METROLOGIC INSTRUMENTS INC	591676101	MTLG	12	13879	3577	38.458	12.625	5.369
21212	1997	0000021212-98-000003.txt	10-K	COACHMEN INDUSTRIES	1998-03-27	https://www.sec.gov/Archives/edgar/data/21212/0000021212-98-000003.txt	3126	ALL AMERICAN GROUP INC	016437105	COHM	12	13879	3716	259.062	21.56199646	17.302
1007321	1997	0001007321-98-000004.txt	10-K	FEMRX	1998-03-26	https://www.sec.gov/Archives/edgar/data/1007321/0001007321-98-000004.txt	62486	FEMRX INC	314463100	FMRX.	12	13879	3845	11.273	2.56199932	8.837
1008614	1997	0001047469-98-012773.txt	10-K	AERIAL COMMUNICATIONS	1998-03-31	https://www.sec.gov/Archives/edgar/data/1008614/0001047469-98-012773.txt	62697	AERIAL COMMUNICATIONS INC	007655103	AERL.1	12	13879	4812	960.648	7.125	71.611
833076	1997	0001019056-98-000147.txt	10-K	GENLYTE GROUP	1998-03-25	https://www.sec.gov/Archives/edgar/data/833076/0001019056-98-000147.txt	14863	GENLYTE GROUP INC	372302109	GLYT	12	13879	3640	254.028	17.75	13.389
82020	1997	0000950134-98-002209.txt	10-K405	UNITED STATES LIME & MINERALS	1998-03-20	https://www.sec.gov/Archives/edgar/data/82020/0000950134-98-002209.txt	8947	U S LIME & MINERALS	911922102	USLM	12	13879	1400	33.52	7.375	3.952
934596	1997	0001047469-98-002564.txt	10-K405	STB SYSTEMS	1998-01-29	https://www.sec.gov/Archives/edgar/data/934596/0001047469-98-002564.txt	31532	STB SYSTEMS INC	784741100	STBI.	10	13818	3577	109.554	29.37499237	6.968
929940	1997	0000950135-97-004004.txt	10-K	ASPEN TECHNOLOGY INC	1997-09-29	https://www.sec.gov/Archives/edgar/data/929940/0000950135-97-004004.txt	30870	ASPEN TECHNOLOGY INC	045327103	AZPN	6	13695	7372	192.264	37.625	20.13
352541	1997	0000897069-98-000229.txt	10-K405	WPL HOLDINGS	1998-04-15	https://www.sec.gov/Archives/edgar/data/352541/0000897069-98-000229.txt	11554	ALLIANT ENERGY CORP	018802108	LNT	12	13879	4931	1861.807	33.125	30.789
906553	1997	0000892569-97-002564.txt	10-K	BOYD GAMING	1997-09-15	https://www.sec.gov/Archives/edgar/data/906553/0000892569-97-002564.txt	29011	BOYD GAMING CORP	103304101	BYD	6	13695	7990	1030.185	5.75	61.524
917126	1997	0000950131-98-000326.txt	10-K	QUALITY DINING	1998-01-26	https://www.sec.gov/Archives/edgar/data/917126/0000950131-98-000326.txt	29818	QUALITY DINING INC	74756P105	QDIN	10	13818	5812	215.973	4.75	12.599
